Concentration,Conc_Value,Time_min,RFU_Interpolated,Is_Extrapolated
0.625 ug/mL,0.625,30.465,10918.809360589708,True
0.625 ug/mL,0.625,30.509999999999998,10918.809360589708,True
0.625 ug/mL,0.625,30.555,10918.809360589708,True
0.625 ug/mL,0.625,30.599999999999998,10918.809360589708,True
0.625 ug/mL,0.625,30.645,10918.809360589708,True
0.625 ug/mL,0.625,30.689999999999998,10918.809360589708,True
0.625 ug/mL,0.625,30.735,10918.809360589708,True
0.625 ug/mL,0.625,30.779999999999998,10918.809360589708,True
0.625 ug/mL,0.625,30.825,10918.809360589708,True
0.625 ug/mL,0.625,30.869999999999997,10918.809360589708,True
0.625 ug/mL,0.625,30.915,10918.809360589708,True
0.625 ug/mL,0.625,30.959999999999997,10918.809360589708,True
0.625 ug/mL,0.625,31.005,10918.809360589708,True
0.625 ug/mL,0.625,31.049999999999997,10918.809360589708,True
0.625 ug/mL,0.625,31.095,10918.809360589708,True
0.625 ug/mL,0.625,31.14,10918.809360589708,True
0.625 ug/mL,0.625,31.185,10918.809360589708,True
0.625 ug/mL,0.625,31.23,10918.809360589708,True
0.625 ug/mL,0.625,31.275,10918.809360589708,True
0.625 ug/mL,0.625,31.32,10918.809360589708,True
0.625 ug/mL,0.625,31.365,10918.809360589708,True
0.625 ug/mL,0.625,31.41,10918.809360589708,True
0.625 ug/mL,0.625,31.455,10918.809360589708,True
0.625 ug/mL,0.625,31.5,10918.809360589708,True
0.625 ug/mL,0.625,31.544999999999998,10918.809360589708,True
0.625 ug/mL,0.625,31.59,10918.809360589708,True
0.625 ug/mL,0.625,31.634999999999998,10918.809360589708,True
0.625 ug/mL,0.625,31.68,10918.809360589708,True
0.625 ug/mL,0.625,31.724999999999998,10918.809360589708,True
0.625 ug/mL,0.625,31.77,10918.809360589708,True
0.625 ug/mL,0.625,31.814999999999998,10918.809360589708,True
0.625 ug/mL,0.625,31.86,10918.809360589708,True
0.625 ug/mL,0.625,31.904999999999998,10918.809360589708,True
0.625 ug/mL,0.625,31.95,10918.809360589708,True
0.625 ug/mL,0.625,31.994999999999997,10918.809360589708,True
0.625 ug/mL,0.625,32.04,10918.809360589708,True
0.625 ug/mL,0.625,32.085,10918.809360589708,True
0.625 ug/mL,0.625,32.129999999999995,10918.809360589708,True
0.625 ug/mL,0.625,32.175,10918.809360589708,True
0.625 ug/mL,0.625,32.22,10918.809360589708,True
0.625 ug/mL,0.625,32.265,10918.809360589708,True
0.625 ug/mL,0.625,32.31,10918.809360589708,True
0.625 ug/mL,0.625,32.355,10918.809360589708,True
0.625 ug/mL,0.625,32.4,10918.809360589708,True
0.625 ug/mL,0.625,32.445,10918.809360589708,True
0.625 ug/mL,0.625,32.49,10918.809360589708,True
0.625 ug/mL,0.625,32.535,10918.809360589708,True
0.625 ug/mL,0.625,32.58,10918.809360589708,True
0.625 ug/mL,0.625,32.625,10918.809360589708,True
0.625 ug/mL,0.625,32.67,10918.809360589708,True
0.625 ug/mL,0.625,32.714999999999996,10918.809360589708,True
0.625 ug/mL,0.625,32.76,10918.809360589708,True
0.625 ug/mL,0.625,32.805,10918.809360589708,True
0.625 ug/mL,0.625,32.85,10918.809360589708,True
0.625 ug/mL,0.625,32.894999999999996,10918.809360589708,True
0.625 ug/mL,0.625,32.94,10918.809360589708,True
0.625 ug/mL,0.625,32.985,10918.809360589708,True
0.625 ug/mL,0.625,33.03,10918.809360589708,True
0.625 ug/mL,0.625,33.074999999999996,10918.809360589708,True
0.625 ug/mL,0.625,33.12,10918.809360589708,True
0.625 ug/mL,0.625,33.165,10918.809360589708,True
0.625 ug/mL,0.625,33.21,10918.809360589708,True
0.625 ug/mL,0.625,33.254999999999995,10918.809360589708,True
0.625 ug/mL,0.625,33.3,10918.809360589708,True
0.625 ug/mL,0.625,33.345,10918.809360589708,True
0.625 ug/mL,0.625,33.39,10918.809360589708,True
0.625 ug/mL,0.625,33.435,10918.809360589708,True
0.625 ug/mL,0.625,33.48,10918.809360589708,True
0.625 ug/mL,0.625,33.525,10918.809360589708,True
0.625 ug/mL,0.625,33.57,10918.809360589708,True
0.625 ug/mL,0.625,33.615,10918.809360589708,True
0.625 ug/mL,0.625,33.66,10918.809360589708,True
0.625 ug/mL,0.625,33.705,10918.809360589708,True
0.625 ug/mL,0.625,33.75,10918.809360589708,True
0.625 ug/mL,0.625,33.795,10918.809360589708,True
0.625 ug/mL,0.625,33.839999999999996,10918.809360589708,True
0.625 ug/mL,0.625,33.885,10918.809360589708,True
0.625 ug/mL,0.625,33.93,10918.809360589708,True
0.625 ug/mL,0.625,33.975,10918.809360589708,True
0.625 ug/mL,0.625,34.019999999999996,10918.809360589708,True
0.625 ug/mL,0.625,34.065,10918.809360589708,True
0.625 ug/mL,0.625,34.11,10918.809360589708,True
0.625 ug/mL,0.625,34.155,10918.809360589708,True
0.625 ug/mL,0.625,34.199999999999996,10918.809360589708,True
0.625 ug/mL,0.625,34.245,10918.809360589708,True
0.625 ug/mL,0.625,34.29,10918.809360589708,True
0.625 ug/mL,0.625,34.335,10918.809360589708,True
0.625 ug/mL,0.625,34.379999999999995,10918.809360589708,True
0.625 ug/mL,0.625,34.425,10918.809360589708,True
0.625 ug/mL,0.625,34.47,10918.809360589708,True
0.625 ug/mL,0.625,34.515,10918.809360589708,True
0.625 ug/mL,0.625,34.56,10918.809360589708,True
0.625 ug/mL,0.625,34.605,10918.809360589708,True
0.625 ug/mL,0.625,34.65,10918.809360589708,True
0.625 ug/mL,0.625,34.695,10918.809360589708,True
