Concentration,Time_min,Fit_Value,Vmax,Km
0.625 ug/mL,2.5628140703517586,11184.688548874807,11015.0,0.1125
0.625 ug/mL,2.7135678391959797,11184.743392236001,11015.0,0.1125
0.625 ug/mL,2.8643216080402008,11184.771248034156,11015.0,0.1125
0.625 ug/mL,3.015075376884422,11184.785396428308,11015.0,0.1125
0.625 ug/mL,3.165829145728643,11184.792582618269,11015.0,0.1125
0.625 ug/mL,3.316582914572864,11184.796232596182,11015.0,0.1125
0.625 ug/mL,3.467336683417085,11184.798086476867,11015.0,0.1125
0.625 ug/mL,3.618090452261306,11184.799028091767,11015.0,0.1125
0.625 ug/mL,3.7688442211055273,11184.799506352658,11015.0,0.1125
0.625 ug/mL,3.9195979899497484,11184.79974926882,11015.0,0.1125
0.625 ug/mL,4.0703517587939695,11184.799872649723,11015.0,0.1125
0.625 ug/mL,4.221105527638191,11184.799935316809,11015.0,0.1125
0.625 ug/mL,4.371859296482412,11184.799967146399,11015.0,0.1125
0.625 ug/mL,4.522613065326633,11184.799983313143,11015.0,0.1125
0.625 ug/mL,4.673366834170854,11184.799991524485,11015.0,0.1125
0.625 ug/mL,4.824120603015075,11184.799995695153,11015.0,0.1125
0.625 ug/mL,4.974874371859296,11184.799997813501,11015.0,0.1125
0.625 ug/mL,5.125628140703517,11184.799998889443,11015.0,0.1125
0.625 ug/mL,5.276381909547738,11184.79999943593,11015.0,0.1125
0.625 ug/mL,5.427135678391959,11184.7999997135,11015.0,0.1125
0.625 ug/mL,5.57788944723618,11184.799999854482,11015.0,0.1125
0.625 ug/mL,5.7286432160804015,11184.799999926088,11015.0,0.1125
0.625 ug/mL,5.879396984924623,11184.799999962459,11015.0,0.1125
0.625 ug/mL,6.030150753768844,11184.799999980933,11015.0,0.1125
0.625 ug/mL,6.180904522613065,11184.799999990315,11015.0,0.1125
0.625 ug/mL,6.331658291457286,11184.79999999508,11015.0,0.1125
0.625 ug/mL,6.482412060301507,11184.7999999975,11015.0,0.1125
0.625 ug/mL,6.633165829145728,11184.79999999873,11015.0,0.1125
0.625 ug/mL,6.783919597989949,11184.799999999355,11015.0,0.1125
0.625 ug/mL,6.93467336683417,11184.799999999672,11015.0,0.1125
0.625 ug/mL,7.085427135678391,11184.799999999834,11015.0,0.1125
0.625 ug/mL,7.236180904522612,11184.799999999916,11015.0,0.1125
0.625 ug/mL,7.3869346733668335,11184.799999999956,11015.0,0.1125
0.625 ug/mL,7.537688442211055,11184.799999999977,11015.0,0.1125
0.625 ug/mL,7.688442211055276,11184.799999999988,11015.0,0.1125
0.625 ug/mL,7.839195979899497,11184.799999999994,11015.0,0.1125
